intrebare,intentie,preparat,confidenta_sugerata
"Cum fac mămăligă fără cocoloașe?",reteta,mamaliga,0.91
"Rețetă mămăligă cu ouă",reteta,mamaliga,0.90
"Cum se face mămăliga la cuptor?",reteta,mamaliga,0.89
"Mămăligă de post rețetă",reteta,mamaliga,0.88
"Cea mai bună mămăligă",reteta,mamaliga,0.87
"Cum fac mămăligă ca la țară?",reteta,mamaliga,0.86
"Cum se face șnițelul de pui?",reteta,snitel,0.95
"Rețetă de șnițel pane",reteta,snitel,0.94
"Cum prepar șnițel crocant?",reteta,snitel,0.93
"Șnițel de pui cu pesmet",reteta,snitel,0.92
"Cum fac șnițel ca la Viena?",reteta,snitel,0.91
"Rețetă șnițel de porc",reteta,snitel,0.90
"Cum se face șnițelul de curcan?",reteta,snitel,0.89
"Șnițel dietetic rețetă",reteta,snitel,0.88
"Cum fac șnițel fără ulei?",reteta,snitel,0.87
"Cea mai bună rețetă de șnițel",reteta,snitel,0.86
"Cum se fac pastele carbonara?",reteta,paste,0.95
"Rețetă de paste carbonara",reteta,paste,0.94
"Cum prepar paste cu sos alb?",reteta,paste,0.93
"Paste bologneze rețetă",reteta,paste,0.92
"Cum fac paste cu fructe de mare?",reteta,paste,0.91
"Rețetă paste cu roșii și busuioc",reteta,paste,0.90
"Cum se fac pastele cu pesto?",reteta,paste,0.89
"Paste la cuptor rețetă",reteta,paste,0.88
"Cum fac paste fără gluten?",reteta,paste,0.87
"Cea mai bună rețetă de paste",reteta,paste,0.86
"Cum se face supa cremă de legume?",reteta,supa,0.95
"Rețetă de supă cremă de ciuperci",reteta,supa,0.94
"Cum prepar supă cremă de roșii?",reteta,supa,0.93
"Supă cremă de dovlecel rețetă",reteta,supa,0.92
"Cum fac supă cremă de broccoli?",reteta,supa,0.91
"Rețetă supă cremă de cartofi",reteta,supa,0.90
"Cum se face supa cremă de morcovi?",reteta,supa,0.89
"Supă cremă de legume cu crutoane",reteta,supa,0.88
"Cum fac supă cremă fără smântână?",reteta,supa,0.87
"Cea mai bună supă cremă",reteta,supa,0.86
"Cum se face prăjitura cu mere?",reteta,prajitura,0.95
"Rețetă de prăjitură cu mere",reteta,prajitura,0.94
"Cum prepar prăjitură cu mere fragedă?",reteta,prajitura,0.93
"Prăjitură cu mere și scorțișoară",reteta,prajitura,0.92
"Cum fac prăjitură cu mere rapidă?",reteta,prajitura,0.91
"Rețetă prăjitură cu mere și nucă",reteta,prajitura,0.90
"Cum se face prăjitura cu brânză?",reteta,prajitura,0.89
"Prăjitură cu mere de post",reteta,prajitura,0.88
"Cum fac prăjitură cu mere și iaurt?",reteta,prajitura,0.87
"Cea mai bună prăjitură cu mere",reteta,prajitura,0.86
"Cum se face tocănița de cartofi?",reteta,tocanita,0.95
"Rețetă de tocăniță de cartofi",reteta,tocanita,0.94
"Cum prepar tocăniță cu mărar?",reteta,tocanita,0.93
"Tocăniță de cartofi cu mici",reteta,tocanita,0.92
"Cum fac tocăniță de cartofi rapid?",reteta,tocanita,0.91
"Rețetă tocăniță de legume",reteta,tocanita,0.90
"Cum se face tocănița de ciuperci?",reteta,tocanita,0.89
"Tocăniță de cartofi la cuptor",reteta,tocanita,0.88
"Cum fac tocăniță de cartofi cu cârnați?",reteta,tocanita,0.87
"Cea mai bună tocăniță",reteta,tocanita,0.86
"Cum se face plăcinta cu brânză?",reteta,placinta,0.95
"Rețetă de plăcintă cu brânză dulce",reteta,placinta,0.94
"Cum prepar plăcintă cu brânză sărată?",reteta,placinta,0.93
"Plăcintă cu brânză și mărar",reteta,placinta,0.92
"Cum fac plăcintă cu brânză fragedă?",reteta,placinta,0.91
"Rețetă plăcintă cu brânză și stafide",reteta,placinta,0.90
"Cum se face plăcinta cu mere?",reteta,placinta,0.89
"Plăcintă cu brânză de post",reteta,placinta,0.88
"Cum fac plăcintă cu brânză și verdeață?",reteta,placinta,0.87
"Cea mai bună plăcintă cu brânză",reteta,placinta,0.86
"Cum se face mici la grătar?",reteta,mici,0.95
"Rețetă de mici tradiționali",reteta,mici,0.94
"Cum prepar mici acasă?",reteta,mici,0.93
"Mici de casă rețetă",reteta,mici,0.92
"Cum fac mici pe grătar?",reteta,mici,0.91
"Rețetă mici cu usturoi",reteta,mici,0.90
"Cum se fac mici la tigaie?",reteta,mici,0.89
"Mici de Post rețetă",reteta,mici,0.88
"Cum fac mici fără carne de vită?",reteta,mici,0.87
"Cea mai bună rețetă de mici",reteta,mici,0.86
"Cât timp se coace pizza?",timp,pizza,0.95
"Cât durează să fac pizza?",timp,pizza,0.94
"Câte minute coac pizza?",timp,pizza,0.93
"Timp de preparare pizza",timp,pizza,0.92
"Cât stă pizza la cuptor?",timp,pizza,0.91
"Cât timp se coc clătitele?",timp,clatite,0.90
"Cât durează să fac clătite?",timp,clatite,0.89
"Câte minute prăjesc clătite?",timp,clatite,0.88
"Timp preparare clătite",timp,clatite,0.87
"Cât stau clătitele pe foc?",timp,clatite,0.86
"Cât timp fierb sarmalele?",timp,sarmale,0.95
"Cât durează să faci sarmale?",timp,sarmale,0.94
"Câte minute se coc sarmalele?",timp,sarmale,0.93
"Timp de preparare sarmale",timp,sarmale,0.92
"Cât stau sarmalele la cuptor?",timp,sarmale,0.91
"Cât timp crește cozonacul?",timp,cozonac,0.90
"Cât durează coacerea cozonacului?",timp,cozonac,0.89
"Câte minute se coace cozonacul?",timp,cozonac,0.88
"Timp preparare cozonac",timp,cozonac,0.87
"Cât stă cozonacul la cuptor?",timp,cozonac,0.86
"Cât timp fierbe ciorba de burtă?",timp,ciorba,0.95
"Cât durează ciorba de burtă?",timp,ciorba,0.94
"Câte minute fierbe ciorba?",timp,ciorba,0.93
"Timp preparare ciorbă",timp,ciorba,0.92
"Cât stă ciorba pe foc?",timp,ciorba,0.91
"Cât timp fierbe mămăliga?",timp,mamaliga,0.90
"Cât durează mămăliga?",timp,mamaliga,0.89
"Câte minute fierbe mămăliga?",timp,mamaliga,0.88
"Timp preparare mămăligă",timp,mamaliga,0.87
"Cât stă mămăliga pe foc?",timp,mamaliga,0.86
"Cât timp se prăjește șnițelul?",timp,snitel,0.95
"Cât durează șnițelul?",timp,snitel,0.94
"Câte minute se prăjește șnițelul?",timp,snitel,0.93
"Timp preparare șnițel",timp,snitel,0.92
"Cât stă șnițelul în tigaie?",timp,snitel,0.91
"Cât timp fierb pastele?",timp,paste,0.90
"Cât durează pastele?",timp,paste,0.89
"Câte minute fierb pastele?",timp,paste,0.88
"Timp preparare paste",timp,paste,0.87
"Cât stau pastele în apă?",timp,paste,0.86
"Cât timp se coace prăjitura?",timp,prajitura,0.95
"Cât durează prăjitura?",timp,prajitura,0.94
"Câte minute se coace prăjitura?",timp,prajitura,0.93
"Timp preparare prăjitură",timp,prajitura,0.92
"Cât stă prăjitura la cuptor?",timp,prajitura,0.91
"Cât timp fierbe tocănița?",timp,tocanita,0.90
"Cât durează tocănița?",timp,tocanita,0.89
"Câte minute fierbe tocănița?",timp,tocanita,0.88
"Timp preparare tocăniță",timp,tocanita,0.87
"Cât stă tocănița pe foc?",timp,tocanita,0.86
"Cât timp se coace plăcinta?",timp,placinta,0.95
"Cât durează plăcinta?",timp,placinta,0.94
"Câte minute se coace plăcinta?",timp,placinta,0.93
"Timp preparare plăcintă",timp,placinta,0.92
"Cât stă plăcinta la cuptor?",timp,placinta,0.91
"Cât timp stau mici pe grătar?",timp,mici,0.90
"Cât durează mici la grătar?",timp,mici,0.89
"Câte minute se fac mici?",timp,mici,0.88
"Timp preparare mici",timp,mici,0.87
"Cât stau mici pe foc?",timp,mici,0.86
"Ingrediente pentru pizza",ingrediente,pizza,0.95
"Ce ingrediente folosesc la pizza?",ingrediente,pizza,0.94
"Ce pun în pizza?",ingrediente,pizza,0.93
"Listă ingrediente pizza",ingrediente,pizza,0.92
"De ce am nevoie pentru pizza?",ingrediente,pizza,0.91
"Ingrediente pentru clătite",ingrediente,clatite,0.90
"Ce ingrediente pentru clătite?",ingrediente,clatite,0.89
"Ce pun în clătite?",ingrediente,clatite,0.88
"Listă ingrediente clătite",ingrediente,clatite,0.87
"De ce am nevoie pentru clătite?",ingrediente,clatite,0.86
"Ingrediente pentru sarmale",ingrediente,sarmale,0.95
"Ce ingrediente pentru sarmale?",ingrediente,sarmale,0.94
"Ce pun în sarmale?",ingrediente,sarmale,0.93
"Listă ingrediente sarmale",ingrediente,sarmale,0.92
"De ce am nevoie pentru sarmale?",ingrediente,sarmale,0.91
"Ingrediente pentru cozonac",ingrediente,cozonac,0.90
"Ce ingrediente pentru cozonac?",ingrediente,cozonac,0.89
"Ce pun în cozonac?",ingrediente,cozonac,0.88
"Listă ingrediente cozonac",ingrediente,cozonac,0.87
"De ce am nevoie pentru cozonac?",ingrediente,cozonac,0.86
"Ingrediente pentru ciorba de burtă",ingrediente,ciorba,0.95
"Ce ingrediente pentru ciorbă?",ingrediente,ciorba,0.94
"Ce pun în ciorba de burtă?",ingrediente,ciorba,0.93
"Listă ingrediente ciorbă",ingrediente,ciorba,0.92
"De ce am nevoie pentru ciorbă?",ingrediente,ciorba,0.91
"Ingrediente pentru mămăligă",ingrediente,mamaliga,0.90
"Ce ingrediente pentru mămăligă?",ingrediente,mamaliga,0.89
"Ce pun în mămăligă?",ingrediente,mamaliga,0.88
"Listă ingrediente mămăligă",ingrediente,mamaliga,0.87
"De ce am nevoie pentru mămăligă?",ingrediente,mamaliga,0.86
"Ingrediente pentru șnițel",ingrediente,snitel,0.95
"Ce ingrediente pentru șnițel?",ingrediente,snitel,0.94
"Ce pun în șnițel?",ingrediente,snitel,0.93
"Listă ingrediente șnițel",ingrediente,snitel,0.92
"De ce am nevoie pentru șnițel?",ingrediente,snitel,0.91
"Ingrediente pentru paste carbonara",ingrediente,paste,0.90
"Ce ingrediente pentru paste?",ingrediente,paste,0.89
"Ce pun în paste?",ingrediente,paste,0.88
"Listă ingrediente paste",ingrediente,paste,0.87
"De ce am nevoie pentru paste?",ingrediente,paste,0.86
"Ingrediente pentru prăjitura cu mere",ingrediente,prajitura,0.95
"Ce ingrediente pentru prăjitură?",ingrediente,prajitura,0.94
"Ce pun în prăjitura cu mere?",ingrediente,prajitura,0.93
"Listă ingrediente prăjitură",ingrediente,prajitura,0.92
"De ce am nevoie pentru prăjitură?",ingrediente,prajitura,0.91
"Ingrediente pentru tocăniță",ingrediente,tocanita,0.90
"Ce ingrediente pentru tocăniță?",ingrediente,tocanita,0.89
"Ce pun în tocăniță?",ingrediente,tocanita,0.88
"Listă ingrediente tocăniță",ingrediente,tocanita,0.87
"De ce am nevoie pentru tocăniță?",ingrediente,tocanita,0.86
"Ingrediente pentru plăcinta cu brânză",ingrediente,placinta,0.95
"Ce ingrediente pentru plăcintă?",ingrediente,placinta,0.94
"Ce pun în plăcinta cu brânză?",ingrediente,placinta,0.93
"Listă ingrediente plăcintă",ingrediente,placinta,0.92
"De ce am nevoie pentru plăcintă?",ingrediente,placinta,0.91
"Ingrediente pentru mici",ingrediente,mici,0.90
"Ce ingrediente pentru mici?",ingrediente,mici,0.89
"Ce pun în mici?",ingrediente,mici,0.88
"Listă ingrediente mici",ingrediente,mici,0.87
"De ce am nevoie pentru mici?",ingrediente,mici,0.86
"Cu ce înlocuiesc ouăle în prăjituri?",inlocuitori,oua,0.95
"Înlocuitor pentru ouă în prăjituri",inlocuitori,oua,0.94
"Ce pun în loc de ouă?",inlocuitori,oua,0.93
"Alternativă pentru ouă",inlocuitori,oua,0.92
"Cu ce înlocuiesc ouăle în clătite?",inlocuitori,oua,0.91
"Înlocuitor pentru ouă în clătite",inlocuitori,oua,0.90
"Ce pun în loc de ouă în chec?",inlocuitori,oua,0.89
"Cu ce înlocuiesc ouăle în rețetele de post?",inlocuitori,oua,0.88
"Cum înlocuiesc ouăle în maioneză?",inlocuitori,oua,0.87
"Înlocuitor vegan pentru ouă",inlocuitori,oua,0.86
"Cu ce înlocuiesc laptele?",inlocuitori,lapte,0.95
"Înlocuitor pentru lapte",inlocuitori,lapte,0.94
"Ce pun în loc de lapte în clătite?",inlocuitori,lapte,0.93
"Alternativă lapte vegetal",inlocuitori,lapte,0.92
"Cu ce înlocuiesc laptele în prăjituri?",inlocuitori,lapte,0.91
"Înlocuitor lapte fără lactoză",inlocuitori,lapte,0.90
"Ce pun în loc de lapte în sosuri?",inlocuitori,lapte,0.89
"Cum înlocuiesc laptele în piure?",inlocuitori,lapte,0.88
"Înlocuitor lapte de cocos",inlocuitori,lapte,0.87
"Cu ce înlocuiesc laptele în budincă?",inlocuitori,lapte,0.86
"Cu ce înlocuiesc făina albă?",inlocuitori,faina,0.95
"Înlocuitor pentru făină",inlocuitori,faina,0.94
"Ce pun în loc de făină în prăjituri?",inlocuitori,faina,0.93
"Alternativă făină fără gluten",inlocuitori,faina,0.92
"Cu ce înlocuiesc făina în clătite?",inlocuitori,faina,0.91
"Înlocuitor făină de migdale",inlocuitori,faina,0.90
"Ce pun în loc de făină în pâine?",inlocuitori,faina,0.89
"Cum înlocuiesc făina în sosuri?",inlocuitori,faina,0.88
"Înlocuitor făină de cocos",inlocuitori,faina,0.87
"Cu ce înlocuiesc făina în pane?",inlocuitori,faina,0.86
"Cu ce înlocuiesc zahărul?",inlocuitori,zahar,0.95
"Înlocuitor pentru zahăr",inlocuitori,zahar,0.94
"Ce pun în loc de zahăr în prăjituri?",inlocuitori,zahar,0.93
"Alternativă zahăr naturală",inlocuitori,zahar,0.92
"Cu ce înlocuiesc zahărul în dulceață?",inlocuitori,zahar,0.91
"Înlocuitor zahăr miere",inlocuitori,zahar,0.90
"Ce pun în loc de zahăr în compot?",inlocuitori,zahar,0.89
"Cum înlocuiesc zahărul în chec?",inlocuitori,zahar,0.88
"Înlocuitor zahăr stevia",inlocuitori,zahar,0.87
"Cu ce înlocuiesc zahărul pentru diabetici?",inlocuitori,zahar,0.86
"Cu ce înlocuiesc smântâna?",inlocuitori,smantana,0.95
"Înlocuitor pentru smântână",inlocuitori,smantana,0.94
"Ce pun în loc de smântână în ciorbă?",inlocuitori,smantana,0.93
"Alternativă smântână vegetală",inlocuitori,smantana,0.92
"Cu ce înlocuiesc smântâna în prăjituri?",inlocuitori,smantana,0.91
"Înlocuitor smântână iaurt",inlocuitori,smantana,0.90
"Ce pun în loc de smântână în sosuri?",inlocuitori,smantana,0.89
"Cum înlocuiesc smântâna în deserturi?",inlocuitori,smantana,0.88
"Înlocuitor smântână de post",inlocuitori,smantana,0.87
"Cu ce înlocuiesc smântâna în mămăligă?",inlocuitori,smantana,0.86
"Cu ce înlocuiesc untul?",inlocuitori,unt,0.95
"Înlocuitor pentru unt",inlocuitori,unt,0.94
"Ce pun în loc de unt în prăjituri?",inlocuitori,unt,0.93
"Alternativă unt vegetal",inlocuitori,unt,0.92
"Cu ce înlocuiesc untul în aluaturi?",inlocuitori,unt,0.91
"Înlocuitor unt ulei de cocos",inlocuitori,unt,0.90
"Ce pun în loc de unt în piure?",inlocuitori,unt,0.89
"Cum înlocuiesc untul în sosuri?",inlocuitori,unt,0.88
"Înlocuitor unt margarină",inlocuitori,unt,0.87
"Cu ce înlocuiesc untul în fursecuri?",inlocuitori,unt,0.86
"Cu ce înlocuiesc brânza?",inlocuitori,branza,0.95
"Înlocuitor pentru brânză",inlocuitori,branza,0.94
"Ce pun în loc de brânză în plăcintă?",inlocuitori,branza,0.93
"Alternativă brânză vegană",inlocuitori,branza,0.92
"Cu ce înlocuiesc brânza în lasagna?",inlocuitori,branza,0.91
"Înlocuitor brânză tofu",inlocuitori,branza,0.90
"Ce pun în loc de brânză în salate?",inlocuitori,branza,0.89
"Cum înlocuiesc brânza în paste?",inlocuitori,branza,0.88
"Înlocuitor brânză de post",inlocuitori,branza,0.87
"Cu ce înlocuiesc brânza în omletă?",inlocuitori,branza,0.86
"Cu ce înlocuiesc carnea?",inlocuitori,carne,0.95
"Înlocuitor pentru carne",inlocuitori,carne,0.94
"Ce pun în loc de carne în sarmale?",inlocuitori,carne,0.93
"Alternativă carne vegetală",inlocuitori,carne,0.92
"Cu ce înlocuiesc carnea în mici?",inlocuitori,carne,0.91
"Înlocuitor carne soia",inlocuitori,carne,0.90
"Ce pun în loc de carne în tocăniță?",inlocuitori,carne,0.89
"Cum înlocuiesc carnea în ciorbă?",inlocuitori,carne,0.88
"Înlocuitor carne de post",inlocuitori,carne,0.87
"Cu ce înlocuiesc carnea în paste?",inlocuitori,carne,0.86
"Cât de greu e să faci pizza?",dificultate,pizza,0.95
"E complicată pizza?",dificultate,pizza,0.94
"Dificultate preparare pizza",dificultate,pizza,0.93
"E ușor de făcut pizza?",dificultate,pizza,0.92
"Poate face oricine pizza?",dificultate,pizza,0.91
"Cât de greu e să faci clătite?",dificultate,clatite,0.90
"E complicat să faci clătite?",dificultate,clatite,0.89
"Dificultate preparare clătite",dificultate,clatite,0.88
"E ușor de făcut clătite?",dificultate,clatite,0.87
"Poate face oricine clătite?",dificultate,clatite,0.86
"Cât de greu e să faci sarmale?",dificultate,sarmale,0.95
"E complicat să faci sarmale?",dificultate,sarmale,0.94
"Dificultate preparare sarmale",dificultate,sarmale,0.93
"E ușor de făcut sarmale?",dificultate,sarmale,0.92
"Poate face oricine sarmale?",dificultate,sarmale,0.91
"Cât de greu e să faci cozonac?",dificultate,cozonac,0.90
"E complicat să faci cozonac?",dificultate,cozonac,0.89
"Dificultate preparare cozonac",dificultate,cozonac,0.88
"E ușor de făcut cozonac?",dificultate,cozonac,0.87
"Poate face oricine cozonac?",dificultate,cozonac,0.86
"Cât de greu e să faci mămăligă?",dificultate,mamaliga,0.95
"E complicată mămăliga?",dificultate,mamaliga,0.94
"Dificultate preparare mămăligă",dificultate,mamaliga,0.93
"E ușor de făcut mămăligă?",dificultate,mamaliga,0.92
"Poate face oricine mămăligă?",dificultate,mamaliga,0.91
"Cât de greu e să faci șnițel?",dificultate,snitel,0.90
"E complicat șnițelul?",dificultate,snitel,0.89
"Dificultate preparare șnițel",dificultate,snitel,0.88
"E ușor de făcut șnițel?",dificultate,snitel,0.87
"Poate face oricine șnițel?",dificultate,snitel,0.86
"Cât de greu e să faci paste?",dificultate,paste,0.95
"E complicat să faci paste?",dificultate,paste,0.94
"Dificultate preparare paste",dificultate,paste,0.93
"E ușor de făcut paste?",dificultate,paste,0.92
"Poate face oricine paste?",dificultate,paste,0.91
"Cât de greu e să faci prăjitură?",dificultate,prajitura,0.90
"E complicată prăjitura?",dificultate,prajitura,0.89
"Dificultate preparare prăjitură",dificultate,prajitura,0.88
"E ușor de făcut prăjitură?",dificultate,prajitura,0.87
"Poate face oricine prăjitură?",dificultate,prajitura,0.86
"Cât de greu e să faci plăcintă?",dificultate,placinta,0.95
"E complicată plăcinta?",dificultate,placinta,0.94
"Dificultate preparare plăcintă",dificultate,placinta,0.93
"E ușor de făcut plăcintă?",dificultate,placinta,0.92
"Poate face oricine plăcintă?",dificultate,placinta,0.91
"Cât de greu e să faci mici?",dificultate,mici,0.90
"E complicat să faci mici?",dificultate,mici,0.89
"Dificultate preparare mici",dificultate,mici,0.88
"E ușor de făcut mici?",dificultate,mici,0.87
"Poate face oricine mici?",dificultate,mici,0.86
"Salut",salut,general,0.99
"Bună",salut,general,0.99
"Bună ziua",salut,general,0.99
"Hey",salut,general,0.98
"Salutare",salut,general,0.98
"Bună dimineața",salut,general,0.97
"Bună seara",salut,general,0.97
"Ceau",salut,general,0.96
"Servus",salut,general,0.96
"Noroc",salut,general,0.95
"Bună să fie",salut,general,0.95
"Bună ziua, ce faceți?",salut,general,0.94
"Salut, ești acolo?",salut,general,0.94
"Hei, cum merge treaba?",salut,general,0.93
"Bună, am o întrebare",salut,general,0.93
"Salutare, mă poți ajuta?",salut,general,0.92
"Bună, vreau să fac o rețetă",salut,general,0.92
"Bună ziua, aș vrea să întreb ceva",salut,general,0.91
"Salut, ai rețete bune?",salut,general,0.91
"Hei, ce mai faci?",salut,general,0.90
"Mulțumesc",multumesc,general,0.99
"Mersi",multumesc,general,0.99
"Merci",multumesc,general,0.98
"Thanks",multumesc,general,0.98
"Mulțam",multumesc,general,0.97
"Mersi frumos",multumesc,general,0.97
"Mulțumesc mult",multumesc,general,0.96
"Îți mulțumesc",multumesc,general,0.96
"Mulțumesc pentru ajutor",multumesc,general,0.95
"Apreciez",multumesc,general,0.95
"Mersi de ajutor",multumesc,general,0.94
"Mulțumesc de rețetă",multumesc,general,0.94
"Îți mulțumesc mult",multumesc,general,0.93
"Mersi mult de tot",multumesc,general,0.93
"Mulțumesc, mi-ai fost de ajutor",multumesc,general,0.92
"Apreciez ajutorul tău",multumesc,general,0.92
"Mersi, ești cel mai bun",multumesc,general,0.91
"Mulțumesc, m-ai salvat",multumesc,general,0.91
"Îți sunt recunoscător",multumesc,general,0.90
"Mulțumesc din suflet",multumesc,general,0.90
"La revedere",la_revedere,general,0.99
"Pa",la_revedere,general,0.99
"Bye",la_revedere,general,0.98
"Ne auzim",la_revedere,general,0.98
"Pe curând",la_revedere,general,0.97
"Pa pa",la_revedere,general,0.97
"Salut, ne vedem",la_revedere,general,0.96
"Închid",la_revedere,general,0.96
"Trebuie să plec",la_revedere,general,0.95
"Ne mai auzim",la_revedere,general,0.95
"Pa, mulțumesc",la_revedere,general,0.94
"La revedere și mulțumesc",la_revedere,general,0.94
"Bye bye",la_revedere,general,0.93
"Ne vedem data viitoare",la_revedere,general,0.93
"Pa, m-ai ajutat mult",la_revedere,general,0.92
"Închid conversația",la_revedere,general,0.92
"Ne auzim mai târziu",la_revedere,general,0.91
"Pa, succes în continuare",la_revedere,general,0.91
"La revedere și numai bine",la_revedere,general,0.90
"Bye, mulțumesc de ajutor",la_revedere,general,0.90
"Nu știu ce să gătesc azi",general,intrebare,0.70
"Ce rețetă să aleg?",general,intrebare,0.69
"Ce să fac de mâncare?",general,intrebare,0.68
"Am poftă de ceva bun, ce să fac?",general,intrebare,0.67
"Ce mâncare e ușor de făcut?",general,intrebare,0.66
"Cum fac mâncarea mai gustoasă?",general,sfat,0.75
"Cum păstrez mâncarea mai mult?",general,sfat,0.74
"Ce condimente se potrivesc cu carnea de pui?",general,sfat,0.73
"Cum știu când e gata carnea?",general,sfat,0.72
"Cum să tai legumele frumos?",general,sfat,0.71
